Date,AIG,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-02-16,246.518524,2.914551,0.453109,9.429054,2.351251,0.923718,4.782722,4.138738,1.421798,6.424366,6.798095,1.854903,4.544072,3.50124,4.343839,6.942549,9.340243,6.90965,1.839919,0.138708,0.979822,4.605679,7.673283,2.698299,1.224244,5.562282,10.3302,10.398868,4.160725,4.977769,14.172258,0.780197,36.608143,0.996849,8.560472,14.552992
1993-02-17,249.942383,2.975912,0.46059,9.429054,2.356522,0.926543,4.80656,4.113755,1.413233,6.464189,6.866075,1.900892,4.477442,3.522786,4.303622,6.906947,9.207129,6.841234,1.842789,0.13752,0.965562,4.594194,7.722157,2.560763,1.23118,5.706928,10.268212,10.427834,4.246026,4.977769,14.370525,0.833556,36.782074,0.99862,8.643745,14.721558
1993-02-18,248.09877,2.929892,0.470208,9.463973,2.372339,0.968915,4.782722,4.122083,1.402528,6.59692,6.866075,1.927171,4.42414,3.555106,4.2634,6.924746,9.140564,6.90965,1.874363,0.136808,0.963525,4.54825,7.868782,2.593509,1.227712,5.654326,10.226897,10.514735,4.274457,5.066026,14.322941,0.849419,36.869019,1.000391,8.543819,14.356324
1993-02-19,247.045273,2.960572,0.470208,9.394129,2.345978,0.960441,4.941618,4.280303,1.408951,6.517277,6.866075,2.02134,4.330861,3.598197,4.410874,7.049357,9.306964,6.727217,1.831307,0.13467,0.888154,4.536765,7.783256,2.423229,1.241584,5.798974,10.164916,10.427834,4.293413,5.110158,14.092948,0.863841,38.260303,0.963208,8.560472,14.272038
1993-02-22,237.827164,2.975912,0.471276,9.603668,2.356522,0.929368,5.02901,4.29696,1.423939,6.344724,6.968045,2.006009,4.170952,3.555106,4.491317,7.156167,9.588313,6.681609,1.762417,0.125407,0.880006,4.582708,7.46557,2.200554,1.365396,5.930469,10.040953,10.572662,4.189158,5.189588,14.077093,0.859515,37.564648,0.913631,8.677057,14.300136
1993-02-23,238.880661,2.929892,0.463796,9.673512,2.335436,0.913831,4.957508,4.23034,1.430363,6.31818,6.951052,1.984111,4.277558,3.565879,4.370656,7.159753,9.553948,6.864038,1.825567,0.131582,0.930932,4.663106,7.380036,2.213652,1.350308,5.864721,9.896331,10.022305,4.170206,5.224895,14.108814,0.833556,36.173355,0.901237,8.62709,14.440607
1993-02-24,245.465027,3.006592,0.458452,9.708433,2.388154,0.963266,4.893949,4.23034,1.44107,6.716382,7.053017,2.062949,4.504096,3.619743,4.491317,7.123866,9.645588,7.000869,1.926031,0.134908,0.941117,4.663106,7.46557,2.455976,1.346537,5.90417,10.3302,10.311972,4.17968,5.224895,14.172258,0.862399,36.695107,0.93842,8.710361,14.637261
1993-02-25,254.156372,2.960572,0.46807,9.673512,2.382882,0.980215,4.878061,4.238666,1.447493,6.782752,7.30795,2.067329,4.437466,3.64129,4.464504,7.26742,9.565401,7.000869,1.937512,0.135145,0.930932,4.67459,7.624412,2.377384,1.365396,5.877872,10.51614,10.398868,4.17968,5.189588,13.958133,0.876819,38.434219,0.929567,8.826948,14.524894
1993-02-26,257.316864,3.006592,0.453109,9.603668,2.446143,0.991514,4.893949,4.238666,1.44107,6.756205,7.392929,2.041049,4.530748,3.652063,4.343839,7.26742,9.668506,7.023671,1.914549,0.137045,0.951302,4.777962,7.58775,2.318441,1.350308,5.851573,10.743402,10.283,4.132292,5.260195,13.894688,0.850861,38.173336,0.950814,8.776982,14.440607
1993-03-01,254.683121,3.02193,0.455246,9.498899,2.440873,0.968915,4.981342,4.255322,1.428223,6.663289,7.443915,2.019151,4.570724,3.630517,4.397469,7.123866,9.553948,7.206101,1.871493,0.138233,0.967599,4.846876,7.563316,2.462524,1.357853,5.825275,10.908687,10.138169,4.113337,5.216069,13.712274,0.845093,38.086372,0.924255,8.660404,14.187753
1993-03-02,257.843628,3.02193,0.463796,9.533821,2.483047,1.001401,5.068732,4.29696,1.464623,6.796024,7.375934,2.093609,4.637353,3.7167,4.491317,7.357141,9.70287,7.183007,1.943253,0.144408,0.990007,4.881329,7.624412,2.521468,1.369168,5.851573,11.239257,10.225072,4.17968,5.304324,13.894688,0.868167,39.521164,0.956125,8.743672,14.300136
