date,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD
2000-02-11,22.4654,18.5104,14.9895,11.8717,19.715,20.9945,18.1736,18.5748,62.4225,74.0762,53.8957,50.0314,28.7295,41.0603,55.5845,42.303,22.4573,13.6828,14.0246,17.5783,33.1221,36.1352,11.5921,11.8651,28.2094,33.7835,44.3249,18.8531,35.0261,35.575,31.1582,56.0094,9.2397,17.8941,14.2857,15.0817,39.6694,46.3988,47.7231,34.2979,48.7379,60.4932,11.4761,11.747,62.316,47.9196,72.9427,62.8457,36.9711,30.9075,10.0975,16.3252,7.5061,7.6779,79.8896,69.4644,17.462,10.6103,18.9246,43.4341,76.0267,81.637,9.7741,8.2539,16.0835,20.0447,57.2149,75.256,11.6236,17.1137
2000-02-14,28.9082,24.3605,12.487,8.1622,16.5598,20.443,31.7788,23.4786,51.9449,63.7264,49.1935,38.9449,22.4335,28.4306,51.7085,47.1044,15.8702,15.0238,27.1778,19.2394,47.3842,37.5769,15.3526,12.4059,32.8094,37.5867,26.7836,19.4191,34.1911,36.0017,19.7741,37.5697,12.2419,13.3934,14.6922,15.2378,26.804,39.5744,35.8511,19.9733,28.4273,47.8417,13.6154,17.7802,59.5443,66.6667,66.1205,51.3829,40.7042,51.9315,17.9444,15.5891,10.8745,20.2379,71.5117,61.3402,23.5504,17.1255,17.0604,27.689,70.7641,77.0224,15.0914,27.136,18.6768,18.5343,61.1835,66.1298,11.7681,13.7206
2000-02-15,30.897,27.4235,17.8775,33.5988,13.1133,16.4627,52.411,34.1211,48.4656,54.2777,40.6335,32.9241,35.3022,28.8218,47.2138,52.2339,14.5595,14.972,54.3764,31.8596,51.2102,43.9055,18.8474,15.2641,45.1723,64.1466,24.6112,35.5612,23.9011,31.0394,5.5142,18.8155,13.8202,11.7673,23.5039,40.1922,17.3692,27.9475,23.8914,17.4032,28.2504,35.1386,21.5942,35.2552,63.4125,75.6512,51.2899,39.641,45.9165,54.9105,35.0598,21.0339,24.6243,45.957,61.9766,55.1252,40.6817,27.2314,27.2393,21.0747,46.3659,64.3856,28.9021,51.3164,20.5659,23.1187,67.4414,61.9466,31.0222,18.1379
2000-02-16,40.2107,33.3386,31.7917,53.614,19.4919,16.3884,57.852,47.3473,67.1797,55.8634,33.5055,28.6475,35.0161,30.9173,47.7429,43.8904,15.2697,15.8134,73.0131,51.5225,67.3408,55.3117,29.0526,21.0842,55.4107,64.4989,28.0785,29.2551,12.9806,23.6909,4.7675,10.0186,19.112,15.0581,38.2429,59.2988,10.1818,18.1183,16.4247,11.8977,23.1969,26.6249,36.238,55.6784,72.8904,76.3534,43.5345,39.5795,51.326,47.1362,47.0291,33.3444,46.2657,72.6022,58.2724,58.3518,61.3368,41.8563,32.3055,25.535,31.9288,49.6863,49.6188,70.4039,19.7348,17.5516,75.8013,68.1421,35.2672,26.0191
2000-02-17,43.8188,38.3088,56.0972,81.0788,34.1821,22.2625,46.88,52.381,75.8973,63.8475,31.0521,31.5847,41.2993,37.2059,39.0349,20.9805,14.7314,13.4088,85.6558,71.0151,78.2304,65.5938,44.862,30.9207,67.6582,74.329,29.8115,24.6181,3.6252,13.5023,13.8139,8.0318,14.132,15.6881,59.7114,79.6432,13.394,13.6484,14.6137,14.5403,28.4357,26.6277,53.1688,68.5727,72.2016,64.6003,42.0435,46.91,44.2246,30.6271,42.886,41.6583,66.5139,80.9826,62.4095,73.7515,82.4406,61.4864,28.7088,29.4179,34.8229,37.7059,64.9592,73.1572,21.6137,24.1707,66.2675,69.8367,40.0233,35.4376
2000-02-18,35.2775,39.769,66.0167,63.3573,49.0472,34.2404,31.4058,45.3792,77.5302,73.5357,31.0298,32.8571,30.5468,35.6207,22.5971,2.9204,14.4237,14.0488,75.5261,78.065,59.8433,68.4715,46.256,40.0569,65.7555,58.4386,24.9312,20.9205,5.7057,7.4372,13.4388,10.6734,11.4051,14.8831,69.5268,69.6384,11.1659,11.5806,10.8572,6.1336,14.5617,22.0648,59.4202,54.0094,58.7264,35.2255,39.8328,33.0088,32.293,19.1158,18.4973,36.1375,69.8595,55.9938,64.5116,61.4316,71.2802,71.6859,15.7908,25.6017,28.8341,31.8619,66.7793,56.7768,18.1661,12.7761,43.3589,61.8092,22.1996,32.4967
2000-02-22,31.1326,36.743,73.7038,76.6754,71.8686,51.6993,21.7525,33.3461,67.0837,73.5037,33.4194,35.8165,19.958,30.6014,10.1957,6.6862,13.1743,12.0652,77.2227,79.4682,39.4911,59.1883,42.7939,44.6373,61.6353,52.1382,23.7312,25.6552,4.2069,4.5126,16.1899,14.4809,26.7325,17.4232,73.3557,70.7855,11.4992,12.0197,11.7742,14.6488,19.9962,20.9979,54.4646,40.8116,45.5483,36.8191,36.3626,29.1691,20.6787,12.2931,15.2495,25.5442,55.7264,30.2028,62.6725,52.8345,53.7616,69.1608,13.6081,19.3693,32.1993,31.9521,57.145,41.5009,23.6099,33.8829,44.5329,51.3864,19.0709,27.098
2000-02-23,25.8033,30.7378,67.9063,63.6863,70.4797,63.7985,23.8143,25.6575,73.3411,72.6517,31.1329,24.725,19.2933,23.266,5.3277,6.3767,12.2918,10.7613,60.7046,71.1511,14.5853,37.9732,32.649,40.5663,48.5102,34.9537,27.6781,36.4587,12.516,7.4762,14.4163,14.6817,35.2279,24.4552,70.3727,70.6941,10.4074,11.0242,15.0216,24.2823,19.7958,18.1179,38.253,19.9381,36.7912,38.3289,24.9718,12.7375,16.4448,17.9254,26.9902,20.2456,33.7713,15.1172,56.4107,54.966,28.6975,51.2464,23.3515,17.5835,43.8958,34.9764,41.3837,25.8732,27.534,35.9431,51.5432,46.4783,13.2965,18.189
2000-02-24,22.3026,26.4128,71.1813,73.1822,57.0653,66.4712,19.9871,21.8513,75.28,71.9016,25.3539,15.5202,21.8644,20.3719,10.9061,19.6553,10.6128,9.012,45.438,61.1218,10.3462,21.4742,30.1027,35.1818,37.6697,25.9172,31.7619,33.1718,13.8325,10.1851,24.8688,18.4917,39.9006,33.9537,71.4562,72.8891,12.4357,11.4475,23.1389,30.4856,25.1196,21.6372,27.1488,20.6967,47.0076,65.8748,19.1103,15.4244,15.6831,16.8307,45.4596,29.2331,21.0698,17.8893,61.1958,75.7868,12.9208,31.7933,23.1385,20.0327,71.8347,49.3099,27.5269,15.2066,36.7674,40.4762,66.6199,54.232,10.6805,14.3493
2000-02-25,9.735,19.2803,68.3822,68.2781,31.4728,53.0059,18.1363,20.6459,55.148,67.923,18.7034,15.865,16.4531,19.2036,15.8097,21.397,7.4266,2.5065,20.9367,42.3598,5.2832,10.0716,25.5047,29.4188,23.8674,10.7314,34.0822,32.6162,14.5929,13.6471,23.1764,20.8205,21.468,32.1989,64.0778,48.6501,13.4924,12.1119,27.7972,28.6238,21.7783,22.2313,17.8207,12.8273,60.3046,76.71,15.1493,17.2861,17.2539,17.0054,39.2573,37.2357,16.8377,17.5065,72.2419,85.9728,7.4665,16.3616,18.2569,21.5823,84.3691,66.6999,16.1403,7.3411,36.0369,31.6913,58.5765,58.9132,6.6998,10.2256
